id,age,job,marital,education,credit_default,housing,loan
127,31,technician,divorced,professional_course,False,True,True
128,56,retired,married,basic_4y,False,True,False
129,41,technician,married,professional_course,True,True,False
130,37,blue-collar,married,basic_6y,False,True,True
131,41,technician,married,professional_course,True,False,False
132,35,blue-collar,married,,False,True,False
133,37,blue-collar,married,basic_6y,False,True,False
134,52,management,married,university_degree,False,False,False
135,39,management,divorced,university_degree,False,False,False
136,39,housemaid,married,basic_4y,True,False,False
137,56,blue-collar,married,basic_4y,True,False,False
138,34,services,married,high_school,False,True,False
139,45,blue-collar,married,basic_9y,True,True,False
140,43,unemployed,single,university_degree,False,True,False
141,56,management,married,,False,True,False
142,39,management,married,university_degree,False,True,False
143,53,blue-collar,married,basic_4y,False,True,False
144,38,unknown,divorced,high_school,True,True,False
145,42,blue-collar,married,basic_4y,True,True,False
146,42,blue-collar,married,basic_4y,True,False,False
147,35,admin.,single,high_school,False,True,False
148,40,admin.,married,university_degree,True,True,False
149,51,blue-collar,married,basic_4y,False,True,False
150,60,blue-collar,married,basic_9y,True,False,False
151,56,entrepreneur,married,,True,True,False
152,39,services,divorced,high_school,True,True,False
153,56,entrepreneur,married,,True,False,False
154,40,blue-collar,married,,False,True,True
155,36,blue-collar,married,basic_9y,False,True,True
156,51,blue-collar,married,,True,True,False
157,51,blue-collar,married,,True,False,False
158,43,technician,single,professional_course,False,True,False
159,59,services,married,high_school,False,False,False
160,24,management,single,university_degree,False,True,False
161,37,blue-collar,single,basic_9y,True,True,True
162,40,blue-collar,married,basic_9y,True,False,False
163,42,blue-collar,married,basic_9y,True,False,False
164,39,services,divorced,high_school,True,False,False
165,37,entrepreneur,married,basic_6y,False,False,False
166,38,services,married,high_school,False,True,True
167,56,admin.,divorced,,True,False,False
168,40,blue-collar,married,,False,False,False
169,54,management,divorced,university_degree,False,True,False
170,43,blue-collar,married,high_school,True,False,True
171,36,services,married,high_school,True,False,False
172,45,technician,married,university_degree,False,True,True
173,42,admin.,single,university_degree,True,False,False
174,43,services,married,high_school,False,False,False
175,46,management,married,basic_9y,False,False,False
176,44,services,married,high_school,False,True,True
177,51,admin.,single,basic_6y,False,False,False
178,28,services,married,high_school,False,True,False
179,37,blue-collar,married,basic_9y,False,False,False
180,34,technician,married,high_school,False,False,False
181,46,blue-collar,married,basic_6y,True,True,False
182,42,blue-collar,married,basic_9y,False,True,True
183,36,admin.,married,university_degree,False,True,False
184,54,blue-collar,married,basic_4y,True,False,False
185,57,management,married,university_degree,False,False,False
186,51,technician,married,basic_6y,True,False,False
187,54,retired,married,high_school,True,False,False
188,49,blue-collar,married,basic_4y,True,False,False
189,34,admin.,married,university_degree,False,True,False
190,41,technician,married,professional_course,False,False,False
191,38,blue-collar,single,basic_9y,False,True,False
192,45,management,divorced,university_degree,False,False,False
193,42,technician,married,university_degree,False,False,False
194,34,blue-collar,single,basic_9y,True,True,False
195,48,blue-collar,married,basic_4y,False,True,False
196,37,admin.,married,high_school,True,True,False
197,34,blue-collar,single,basic_9y,True,False,False
198,40,admin.,married,basic_9y,True,True,False
199,43,blue-collar,married,basic_6y,False,True,False
200,33,services,married,high_school,False,False,False
201,32,services,single,basic_6y,False,False,False
202,39,blue-collar,married,high_school,False,True,False
203,43,admin.,married,,False,False,False
204,44,blue-collar,married,basic_9y,False,True,False
205,35,student,single,university_degree,True,False,False
206,35,student,single,university_degree,True,True,True
207,35,unemployed,married,professional_course,False,False,False
208,36,services,single,basic_4y,False,False,False
209,35,student,single,university_degree,True,True,False
210,36,student,single,basic_9y,False,True,False
211,55,housemaid,divorced,university_degree,False,False,False
212,59,admin.,married,university_degree,False,False,False
213,57,retired,married,,True,False,False
214,39,blue-collar,married,professional_course,True,True,False
215,39,housemaid,married,basic_4y,True,True,False
216,30,blue-collar,single,,False,True,False
217,30,blue-collar,single,,False,True,True
218,50,housemaid,married,basic_4y,True,False,False
219,40,services,married,high_school,False,False,False
220,35,admin.,married,high_school,False,True,False
221,43,technician,married,,True,False,False
222,36,services,single,basic_6y,True,True,False
223,46,technician,married,basic_4y,True,True,False
224,40,technician,married,basic_9y,False,False,False
225,58,retired,married,university_degree,False,False,False
226,42,technician,married,university_degree,False,False,False
227,35,admin.,single,university_degree,False,False,False
228,43,retired,married,basic_4y,True,False,False
229,45,blue-collar,married,basic_4y,False,True,True
230,39,admin.,married,professional_course,False,True,False
231,50,services,divorced,professional_course,False,True,False
232,32,management,divorced,basic_4y,True,True,False
233,39,admin.,married,high_school,True,False,False
234,52,self-employed,married,university_degree,True,False,False
235,44,admin.,married,professional_course,False,True,False
236,56,blue-collar,married,basic_4y,False,False,False
237,48,admin.,married,high_school,False,False,False
238,33,services,married,high_school,True,False,True
239,43,management,married,university_degree,True,False,True
240,57,retired,married,high_school,False,False,False
241,36,technician,single,professional_course,False,False,False
242,34,management,married,university_degree,False,True,False
243,34,services,single,basic_9y,False,False,False
244,30,technician,married,university_degree,True,False,False
245,33,services,divorced,,False,False,False
246,32,technician,single,professional_course,False,False,False
247,36,technician,single,high_school,False,True,False
248,36,blue-collar,single,high_school,False,False,True
249,33,services,single,high_school,False,False,False
250,40,technician,divorced,professional_course,False,False,False
251,41,blue-collar,married,basic_4y,False,True,False
252,51,services,married,basic_6y,False,True,False
253,36,technician,married,professional_course,False,True,False
254,28,services,married,,False,False,False
255,53,services,married,high_school,False,True,True
256,58,blue-collar,married,basic_9y,True,True,False
257,45,management,married,basic_9y,False,False,True
258,43,technician,married,,False,True,False
259,33,admin.,married,high_school,False,False,True
260,33,admin.,married,high_school,False,False,True
261,27,blue-collar,single,basic_6y,False,False,False
262,42,technician,married,high_school,False,False,False
263,43,admin.,divorced,basic_9y,False,False,False
264,42,admin.,married,university_degree,False,False,False
265,27,blue-collar,single,basic_6y,False,False,False
266,34,self-employed,single,university_degree,False,True,False
267,31,student,single,university_degree,True,False,False
268,54,management,divorced,university_degree,False,False,False
269,40,self-employed,married,basic_4y,True,False,False
270,52,unemployed,married,high_school,True,True,False
271,47,management,divorced,university_degree,False,False,False
272,49,housemaid,married,basic_9y,True,False,False
273,32,admin.,single,high_school,False,False,False
274,49,housemaid,single,high_school,True,True,True
275,50,blue-collar,married,basic_9y,True,False,False
276,34,services,married,high_school,False,False,False
277,55,blue-collar,married,basic_4y,True,False,False
278,47,technician,single,basic_9y,False,False,False
279,51,retired,married,professional_course,False,False,False
280,47,blue-collar,married,basic_6y,False,False,False
281,56,technician,married,basic_4y,False,True,False
282,53,admin.,married,basic_9y,False,False,False
283,36,blue-collar,married,basic_9y,False,True,False
284,42,blue-collar,divorced,basic_9y,False,True,False
285,44,blue-collar,divorced,basic_6y,False,False,False
286,39,housemaid,married,basic_9y,False,True,False
287,37,admin.,single,high_school,False,True,True
288,60,blue-collar,married,,True,True,False
289,36,services,married,high_school,False,False,False
290,42,management,divorced,university_degree,False,True,False
291,31,admin.,married,high_school,False,True,True
292,53,technician,divorced,professional_course,True,False,True
293,45,blue-collar,married,basic_4y,False,True,False
294,37,technician,single,professional_course,False,True,False
295,47,self-employed,married,professional_course,False,False,False
296,49,blue-collar,divorced,high_school,False,False,True
297,36,admin.,married,university_degree,False,True,False
298,35,services,divorced,high_school,False,False,False
299,38,unknown,married,,True,False,False
300,38,services,single,high_school,True,False,False
301,50,blue-collar,divorced,high_school,True,False,True
302,59,retired,married,professional_course,True,False,False
303,43,unknown,married,,False,True,False
304,42,admin.,married,high_school,False,True,False
305,40,admin.,married,basic_6y,True,True,False
306,46,blue-collar,married,,True,False,False
307,57,housemaid,divorced,basic_4y,False,True,True
308,42,admin.,married,university_degree,False,True,False
309,41,blue-collar,married,basic_4y,False,True,False
310,54,management,divorced,university_degree,False,True,False
311,27,admin.,single,university_degree,False,False,False
312,36,admin.,married,high_school,False,False,False
313,58,blue-collar,married,professional_course,True,True,False
314,40,management,married,university_degree,True,True,False
315,34,admin.,single,basic_9y,True,False,False
316,33,admin.,divorced,high_school,False,False,False
317,56,retired,married,basic_6y,False,False,False
318,42,blue-collar,married,basic_9y,False,False,False
319,43,services,married,high_school,False,True,False
320,54,management,single,basic_9y,False,True,False
321,53,admin.,single,basic_6y,False,True,True
322,42,technician,single,,False,False,False
323,40,services,married,basic_6y,True,False,False
324,54,technician,married,professional_course,False,True,True
325,40,housemaid,single,professional_course,False,False,False
326,26,admin.,single,university_degree,False,True,False
327,33,admin.,married,high_school,False,False,False
328,35,blue-collar,married,basic_9y,True,False,False
329,36,admin.,married,high_school,False,False,False
330,29,services,single,high_school,False,True,False
331,36,blue-collar,married,basic_9y,False,True,False
332,35,management,married,high_school,False,True,False
333,50,self-employed,single,university_degree,False,False,True
334,46,services,married,high_school,True,True,False
335,49,entrepreneur,married,high_school,False,True,False
336,42,technician,single,professional_course,True,True,False
337,36,blue-collar,single,high_school,False,True,True
338,55,blue-collar,married,basic_9y,True,True,False
339,41,management,married,university_degree,True,False,False
340,57,management,married,professional_course,True,True,False
341,32,services,single,high_school,False,True,False
342,49,admin.,married,basic_9y,False,False,False
343,57,unknown,married,,True,True,False
344,58,blue-collar,divorced,basic_4y,False,True,False
345,52,technician,married,high_school,False,True,False
346,50,services,divorced,professional_course,False,False,False
347,41,blue-collar,single,basic_9y,True,True,False
348,33,entrepreneur,married,university_degree,False,True,False
349,57,blue-collar,married,basic_4y,False,False,False
350,48,blue-collar,married,basic_6y,True,False,False
351,55,technician,married,professional_course,False,False,False
352,38,management,married,university_degree,False,False,False
353,38,services,married,high_school,False,True,False
354,53,admin.,married,university_degree,False,True,False
355,43,unemployed,single,university_degree,False,False,False
356,36,blue-collar,single,high_school,False,False,False
357,32,blue-collar,married,basic_9y,False,False,False
358,33,services,married,basic_4y,False,False,False
359,58,entrepreneur,married,basic_4y,False,True,False
360,40,unemployed,divorced,high_school,True,False,False
361,57,management,married,university_degree,False,True,False
362,45,technician,married,high_school,False,True,False
363,42,blue-collar,married,basic_4y,True,True,False
364,46,admin.,married,university_degree,False,True,False
365,36,technician,married,university_degree,False,False,False
366,41,self-employed,married,high_school,False,True,False
367,57,admin.,divorced,basic_9y,False,False,False
368,49,blue-collar,married,basic_9y,True,True,False
369,56,management,divorced,high_school,False,False,False
370,37,blue-collar,married,basic_9y,False,False,False
371,37,blue-collar,married,basic_9y,False,False,True
372,46,admin.,single,high_school,False,True,False
373,22,blue-collar,single,basic_9y,False,True,False
374,43,services,married,high_school,False,False,False
375,49,blue-collar,married,,False,False,False
376,41,technician,married,basic_6y,False,True,False
377,38,admin.,single,university_degree,False,False,False
378,33,admin.,married,basic_9y,False,False,False
379,49,admin.,married,university_degree,False,True,True
380,30,blue-collar,single,,False,False,False
381,33,admin.,married,basic_9y,False,True,False
382,34,management,single,university_degree,False,False,False
383,30,student,single,,True,False,False
384,59,management,married,basic_4y,True,True,True
385,59,management,married,basic_4y,True,False,False
386,41,self-employed,married,university_degree,False,False,False
387,48,housemaid,married,basic_6y,True,True,True
388,28,unknown,single,,True,True,True
389,44,services,married,high_school,False,True,False
390,59,retired,unknown,university_degree,True,False,False
391,50,management,married,high_school,True,False,False
392,35,admin.,married,university_degree,False,False,False
393,42,admin.,married,high_school,False,False,False
394,45,admin.,married,basic_9y,False,False,False
395,36,technician,married,professional_course,False,False,False
396,56,services,married,high_school,True,False,False
397,29,blue-collar,divorced,basic_4y,False,False,False
398,41,self-employed,married,university_degree,False,True,True
399,42,blue-collar,married,basic_9y,True,False,False
400,52,services,single,high_school,False,False,False
401,48,services,married,high_school,True,False,False
402,31,blue-collar,married,high_school,True,True,False
403,43,unemployed,married,university_degree,True,True,False
404,36,blue-collar,married,basic_4y,True,False,False
405,42,entrepreneur,married,university_degree,False,True,False
406,52,services,divorced,basic_6y,False,False,False
407,39,admin.,married,high_school,False,True,False
408,36,services,married,high_school,False,False,True
409,42,blue-collar,married,basic_9y,True,True,False
410,41,admin.,married,high_school,False,False,False
411,55,technician,married,basic_4y,False,False,True
412,30,blue-collar,married,basic_9y,False,False,False
413,57,retired,unknown,basic_4y,False,False,False
414,45,entrepreneur,married,basic_4y,True,True,False
415,51,blue-collar,married,basic_4y,True,True,True
416,39,self-employed,single,basic_9y,True,True,True
417,47,admin.,married,high_school,True,False,False
418,27,services,married,high_school,False,True,False
419,34,technician,single,university_degree,False,True,False
420,57,blue-collar,married,basic_4y,True,True,False
421,43,entrepreneur,married,basic_4y,False,False,False
422,49,blue-collar,married,basic_4y,True,False,False
423,39,management,married,university_degree,True,False,False
424,38,blue-collar,married,basic_4y,True,True,False
425,49,blue-collar,married,basic_9y,False,False,False
426,58,management,married,basic_6y,False,False,False
427,43,technician,married,professional_course,False,True,False
428,50,unknown,married,,True,True,False
429,31,services,married,high_school,True,False,False
430,43,self-employed,divorced,university_degree,False,False,False
431,43,self-employed,married,basic_9y,True,False,False
432,30,self-employed,single,university_degree,False,True,False
433,27,services,single,professional_course,False,True,True
434,51,services,married,,True,False,False
435,37,technician,married,professional_course,False,True,False
436,46,housemaid,married,basic_9y,False,True,False
437,35,blue-collar,married,professional_course,False,False,False
438,47,admin.,divorced,university_degree,False,False,False
439,46,management,married,,False,True,False
440,40,technician,married,professional_course,True,False,True
441,26,housemaid,married,university_degree,False,False,False
442,32,blue-collar,divorced,basic_9y,True,False,False
443,45,management,married,university_degree,False,True,False
444,34,admin.,married,basic_9y,False,False,False
445,47,blue-collar,married,,True,False,False
446,42,technician,married,professional_course,False,False,False
447,57,technician,married,basic_4y,True,False,True
448,57,technician,married,basic_4y,True,False,False
449,38,blue-collar,married,basic_4y,False,False,True
450,57,technician,married,basic_4y,True,False,False
451,28,student,single,basic_9y,True,True,False
452,60,management,married,university_degree,False,False,False
453,48,admin.,married,university_degree,False,True,False
454,47,technician,married,professional_course,False,True,False
455,40,admin.,married,high_school,False,False,False
456,51,management,married,professional_course,True,True,False
457,48,unemployed,single,basic_4y,False,True,False
458,54,housemaid,married,basic_4y,False,False,False
459,40,blue-collar,married,basic_6y,False,False,True
460,44,admin.,single,basic_9y,True,False,False
461,42,technician,divorced,high_school,False,False,False
462,52,self-employed,married,university_degree,False,True,False
463,31,blue-collar,single,basic_9y,False,True,False
464,32,services,married,high_school,False,False,False
465,44,admin.,married,high_school,False,True,True
466,39,management,married,basic_6y,True,False,False
467,57,management,married,professional_course,True,True,False
468,52,admin.,married,basic_4y,False,True,False
469,42,management,married,university_degree,False,False,False
470,42,technician,single,professional_course,True,False,False
471,43,management,married,professional_course,False,True,False
472,31,admin.,divorced,high_school,False,False,False
473,29,admin.,married,university_degree,True,True,False
474,57,blue-collar,divorced,basic_4y,False,False,False
475,44,blue-collar,married,basic_9y,True,False,False
476,59,unknown,married,,True,False,False
477,39,blue-collar,married,basic_4y,True,False,False
478,57,retired,married,university_degree,False,False,False
479,41,management,married,,True,False,False
480,37,technician,single,high_school,True,False,True
481,38,services,married,high_school,False,True,False
482,42,retired,married,basic_4y,False,False,False
483,49,unknown,married,,True,True,False
484,54,management,married,basic_6y,True,True,True
485,36,admin.,married,university_degree,False,False,False
486,32,admin.,single,university_degree,True,False,False
487,35,technician,married,professional_course,False,True,False
488,45,housemaid,married,professional_course,True,False,False
489,56,technician,married,,False,True,False
490,34,technician,married,university_degree,False,True,False
491,41,unemployed,married,basic_9y,True,False,False
492,41,services,married,basic_9y,False,False,False
493,36,blue-collar,married,basic_9y,True,False,False
494,32,admin.,single,university_degree,True,False,False
495,31,services,married,high_school,True,False,False
496,38,technician,married,professional_course,False,True,False
497,35,admin.,divorced,university_degree,True,True,False
498,53,admin.,married,professional_course,False,True,False
499,51,admin.,married,basic_6y,True,True,False
500,56,entrepreneur,married,university_degree,True,False,False
501,33,admin.,married,basic_9y,False,False,False
502,33,admin.,married,basic_9y,False,False,False
503,51,services,divorced,high_school,True,True,False
504,39,services,married,high_school,True,True,False
505,45,entrepreneur,married,university_degree,False,False,False
506,40,technician,single,university_degree,False,False,False
507,60,unknown,single,,True,True,False
508,33,technician,married,university_degree,False,True,False
509,47,blue-collar,married,high_school,True,True,False
510,48,blue-collar,married,basic_4y,False,False,False
511,43,entrepreneur,married,high_school,False,False,False
512,37,management,married,university_degree,False,True,False
513,50,services,married,basic_9y,False,True,True
514,59,entrepreneur,married,high_school,False,True,False
515,32,technician,married,,True,True,False
516,42,housemaid,single,basic_4y,True,True,False
517,52,blue-collar,married,basic_4y,False,False,False
518,42,blue-collar,married,,True,False,False
519,42,admin.,married,,False,False,False
520,40,management,married,basic_9y,True,False,False
521,38,blue-collar,married,basic_9y,False,False,False
522,39,blue-collar,married,basic_6y,False,True,False
523,39,blue-collar,married,basic_6y,False,False,False
524,38,admin.,married,high_school,False,False,False
525,47,admin.,single,,True,True,False
526,30,services,single,high_school,False,False,False
527,38,admin.,divorced,high_school,False,True,True
528,39,technician,divorced,university_degree,False,False,False
529,44,admin.,married,high_school,False,False,False
530,36,admin.,married,high_school,False,False,False
531,41,services,married,high_school,True,True,True
532,41,blue-collar,married,basic_6y,False,False,False
533,35,blue-collar,married,basic_9y,False,False,False
534,41,technician,married,high_school,False,False,False
535,36,services,married,high_school,True,False,False
536,35,admin.,single,high_school,False,True,True
537,33,blue-collar,single,basic_4y,True,False,False
538,38,admin.,single,basic_6y,True,False,False
539,33,self-employed,married,university_degree,False,False,False
540,55,self-employed,married,,True,False,False
541,36,blue-collar,single,basic_9y,True,False,False
542,57,technician,married,professional_course,True,False,True
543,32,entrepreneur,single,university_degree,False,True,False
544,30,self-employed,single,high_school,False,True,False
545,43,admin.,married,professional_course,False,True,True
546,46,admin.,married,university_degree,False,False,False
547,35,admin.,divorced,high_school,False,False,True
548,34,admin.,single,university_degree,False,True,True
549,50,blue-collar,married,basic_4y,True,False,False
550,39,admin.,single,university_degree,False,False,False
551,39,blue-collar,married,basic_9y,True,False,False
552,42,entrepreneur,married,basic_6y,False,False,False
553,57,retired,married,university_degree,False,True,False
554,45,blue-collar,married,basic_4y,True,False,False
555,40,technician,married,basic_4y,False,False,True
556,42,blue-collar,married,high_school,False,False,True
557,40,technician,married,basic_4y,False,False,False
558,38,blue-collar,single,basic_4y,True,False,False
559,39,blue-collar,married,basic_6y,True,True,True
560,41,blue-collar,married,basic_4y,False,False,False
561,39,blue-collar,married,basic_6y,True,True,False
562,41,blue-collar,married,basic_4y,False,True,True
563,45,admin.,married,university_degree,True,False,False
564,35,admin.,divorced,university_degree,False,False,False
565,35,admin.,married,basic_6y,False,True,False
566,49,blue-collar,married,high_school,True,False,False
567,36,technician,married,,False,False,False
568,23,admin.,single,university_degree,False,False,False
569,43,unemployed,married,university_degree,True,False,False
570,49,entrepreneur,married,professional_course,False,False,False
571,36,technician,married,professional_course,False,False,False
572,51,blue-collar,married,basic_9y,True,True,False
573,56,retired,married,basic_4y,True,True,True
574,45,housemaid,married,high_school,False,False,False
575,42,admin.,married,high_school,False,False,False
576,41,admin.,divorced,high_school,False,False,False
577,32,services,married,high_school,True,False,True
578,46,management,married,university_degree,False,False,False
579,37,blue-collar,married,,False,False,False
580,53,management,married,university_degree,True,False,False
581,30,blue-collar,married,basic_4y,False,False,False
582,45,unknown,married,,True,False,False
583,24,technician,single,professional_course,False,False,True
584,45,unknown,married,,True,False,False
585,34,admin.,single,university_degree,False,False,True
586,41,management,married,university_degree,True,False,False
587,59,blue-collar,married,basic_4y,False,True,False
588,45,blue-collar,married,basic_4y,True,False,False
589,54,blue-collar,married,basic_6y,True,False,False
590,32,technician,married,professional_course,False,False,False
591,33,technician,married,professional_course,False,True,False
592,32,admin.,married,university_degree,False,False,False
593,34,services,single,high_school,False,False,False
594,46,management,married,university_degree,False,False,False
595,57,technician,married,professional_course,False,True,False
596,42,technician,married,basic_9y,False,False,False
597,48,admin.,married,professional_course,False,True,False
598,58,admin.,divorced,university_degree,True,True,False
599,34,services,married,high_school,False,False,False
600,32,admin.,single,university_degree,False,True,True
601,48,blue-collar,married,basic_9y,False,False,False
602,47,blue-collar,married,basic_9y,False,False,False
603,31,services,married,high_school,True,False,False
604,32,admin.,single,university_degree,False,True,False
605,32,admin.,single,university_degree,False,False,False
606,36,services,married,high_school,False,False,False
607,53,blue-collar,married,basic_4y,True,False,True
608,37,blue-collar,married,basic_9y,True,False,False
609,50,services,married,high_school,False,False,False
610,46,blue-collar,married,basic_6y,False,True,False
611,41,admin.,married,high_school,False,False,False
612,43,blue-collar,single,basic_4y,False,False,False
613,51,management,married,university_degree,False,True,False
614,38,admin.,married,university_degree,False,True,False
615,41,technician,married,basic_6y,False,True,False
616,39,services,married,high_school,True,False,False
617,52,blue-collar,married,basic_4y,False,False,False
618,37,technician,married,professional_course,False,True,False
619,41,admin.,married,basic_9y,False,True,False
620,46,admin.,divorced,university_degree,False,True,True
621,47,technician,married,professional_course,False,False,False
622,35,technician,married,professional_course,False,False,False
623,38,services,married,high_school,True,False,False
624,30,blue-collar,single,,False,True,True
625,46,blue-collar,married,basic_9y,False,True,False
626,30,technician,married,professional_course,False,False,False
627,35,services,single,basic_4y,False,False,False
628,58,admin.,married,,True,True,False
629,40,technician,married,professional_course,False,False,False
630,34,technician,married,university_degree,False,False,False
631,30,admin.,single,university_degree,False,False,False
632,38,services,married,basic_6y,False,False,False
633,55,management,single,basic_4y,False,False,False
634,55,management,married,university_degree,True,True,False
635,45,technician,single,professional_course,False,True,False
636,36,admin.,married,university_degree,False,True,True
637,32,admin.,single,university_degree,False,False,False
638,35,technician,married,,True,True,False
639,55,management,divorced,university_degree,False,True,False
640,49,housemaid,married,basic_4y,True,False,False
641,29,admin.,married,high_school,False,True,False
642,34,blue-collar,married,basic_4y,False,True,False
643,54,retired,married,high_school,True,True,False
644,36,technician,single,professional_course,False,False,False
645,30,management,single,university_degree,False,True,False
646,33,housemaid,divorced,university_degree,False,False,False
647,37,blue-collar,married,high_school,False,False,False
648,36,technician,married,basic_9y,True,True,False
649,33,blue-collar,married,high_school,False,False,False
650,32,housemaid,married,high_school,False,True,False
651,32,housemaid,married,high_school,False,False,False
652,50,blue-collar,married,basic_4y,True,True,False
653,39,blue-collar,married,basic_9y,False,False,True
654,51,blue-collar,divorced,,True,True,True
655,33,services,married,high_school,False,False,False
656,33,services,married,basic_4y,False,False,False
657,56,management,married,university_degree,True,False,True
658,39,management,divorced,university_degree,True,True,False
659,33,self-employed,single,university_degree,False,False,False
660,59,retired,divorced,basic_4y,True,False,False
661,42,admin.,single,,False,True,False
662,43,services,married,high_school,False,False,True
663,35,admin.,married,university_degree,False,False,False
664,46,blue-collar,married,basic_6y,True,True,False
